Year,Water_Account_Identifier,Latitude,Longitude
2020,1,40.778969357176706,-74.15674392948334
2020,2,40.70766317409359,-74.11911763317076
2020,3,40.68866894745322,-74.16919999424127
2020,4,40.70540031888399,-74.18517178429047
2020,5,40.745263827090895,-74.19071048262889
2020,6,40.67708263752325,-74.18048671759654
2020,7,40.6937356378957,-74.15833615659207
2020,8,40.67362343641366,-74.14629407516581
2020,9,40.6918533046356,-74.1908465675714
2020,10,40.741174362501845,-74.13576390998975
2020,11,40.696870019902995,-74.18418535129645
2020,12,40.702708564833564,-74.1334115916751
2020,13,40.73427095479188,-74.20283849423858
2020,14,40.68716102136382,-74.16017293552754
2020,15,40.71962549744917,-74.15429921584911
2020,16,40.72359018464005,-74.12812810799278
2020,17,40.738452264936186,-74.17831767490357
2020,18,40.75987738793169,-74.17967621171147
2020,19,40.78056155596583,-74.16722085999135
2020,20,40.693727521129304,-74.19242410101158
2020,21,40.67786509595862,-74.18744119312132
2020,22,40.67704812219466,-74.1530601987308
2020,23,40.722642918445345,-74.20128298354162
2020,24,40.75580129289151,-74.18879878158862
2020,25,40.736941726502806,-74.1726733212616
2020,26,40.69143291510367,-74.18204246292491
2020,27,40.730697307232845,-74.12016216974645
2020,28,40.6948978444117,-74.19840382156258
2020,29,40.72463814483092,-74.18781482697884
2020,30,40.70583439618619,-74.12813111497708
2020,31,40.76665068851874,-74.1749684891947
2020,32,40.722129935516456,-74.20399443987863
2020,33,40.712519124575216,-74.15752776104698
2020,34,40.68228929485389,-74.15500274077431
2020,35,40.72035734552992,-74.16913952362857
2020,36,40.72966623943431,-74.1852647452959
2020,37,40.668337253058844,-74.14146488678793
2020,38,40.77276533872104,-74.18387716982105
2020,39,40.7296970970587,-74.20272389141832
2020,40,40.696285456588804,-74.13651678788614
2020,41,40.70336244591746,-74.15120811919903
2020,42,40.7252668498202,-74.13056270603653
2020,43,40.70416505211011,-74.11740800512067
2020,44,40.70339145532266,-74.17301549567874
2020,45,40.68693865789586,-74.13752758821113
2020,46,40.76361830152674,-74.17574717060036
2020,47,40.702836372071324,-74.11557392992943
2020,48,40.73917417043524,-74.1233947901266
2020,49,40.677494195333786,-74.14640788521388
2020,50,40.733108487295674,-74.2026725202461
2020,51,40.74033576400495,-74.16655805984186
2020,52,40.713417679019734,-74.21077001398399
2020,53,40.72834669304735,-74.19732129458313
2020,54,40.65642017808218,-74.16581790098874
2020,55,40.67286906658109,-74.14873249799898
2020,56,40.68610764448232,-74.17263221734785
2020,57,40.712047749455856,-74.18800464577663
2020,58,40.716576420581895,-74.14075677365001
2020,59,40.741226717067995,-74.22416500323816
2020,60,40.68555763661344,-74.12602866403051
2020,61,40.74281037138873,-74.23247531479987
2020,62,40.695969859319455,-74.21079081206567
2020,63,40.7109387714974,-74.14781891970614
2020,64,40.712993905000644,-74.14202844040605
2020,65,40.745928052112475,-74.21313627875293
2020,66,40.70122676279644,-74.12665389738521
2020,67,40.74809077264881,-74.18214948646947
2020,68,40.66463902359098,-74.16386543859852
2020,69,40.77748021971846,-74.17356586322869
2020,70,40.7000621190676,-74.13013376195485
2020,71,40.73915479151464,-74.1747099975955
2020,72,40.69324398101,-74.12671970268956
2020,73,40.73414103491302,-74.126845276214965
2020,74,40.67884982291039,-74.1577233512533
2020,75,40.7432816888091,-74.17617998531712
2020,76,40.719107059414434,-74.18894303473522
2020,77,40.684799576120746,-74.18174081075043
2020,78,40.737566152245655,-74.20139050250087
2020,79,40.76756591745334,-74.170209461332945
2020,80,40.732180216259735,-74.18145915602068
2020,81,40.67491150036743,-74.13326652487956
2020,82,40.70299541420081,-74.15758294581894
2020,83,40.71362919602934,-74.18216390794127
2020,84,40.744575155458676,-74.1712758966703
2020,85,40.717310459344795,-74.16312496934394
2020,86,40.72641711829633,-74.16652855415
2020,87,40.70626679048629,-74.11878316501611
2020,88,40.71968216451451,-74.2084649897091
2020,89,40.69269128621048,-74.20695556367224
2020,90,40.72573871057078,-74.12817959579334
2020,91,40.73469064499385,-74.16245403961072
2020,92,40.74758366076215,-74.20007984504842
2020,93,40.7647555971575,-74.16561614242833
2020,94,40.69425497428401,-74.19680955400136
2020,95,40.71663815533365,-74.21375665192197
2020,96,40.70484878569817,-74.20408144701995
2020,97,40.711602304784485,-74.15530275769027
2020,98,40.76921776376015,-74.17757265052573
2020,99,40.684933141484365,-74.15551028957744
2020,100,40.65337333253196,-74.16276261134988
2020,101,40.74300708482289,-74.18220433085163
2020,102,40.73155097472252,-74.24183352495385
2020,103,40.66125857021379,-74.15648598755276
2020,104,40.69819050021342,-74.20944217869209
2020,105,40.737507779811274,-74.20208460495577
2020,106,40.71910776078896,-74.17466983812196
2020,107,40.7159544049025,-74.22035998044802
2020,108,40.732522656646815,-74.14880950761683
2020,109,40.735897720656425,-74.24801294944984
2020,110,40.67879621767248,-74.13767179295441
2020,111,40.676235046633394,-74.15732380585823
2020,112,40.77984532886528,-74.16578404459295
2020,113,40.73558061956341,-74.21065676613698
2020,114,40.781596961008496,-74.15993687717263
2020,115,40.733193585161224,-74.20611094227057
2020,116,40.67741216410835,-74.15453235897502
2020,117,40.73710710399943,-74.23182287788427
2020,118,40.725942101348515,-74.15159972903925
2020,119,40.721529450751696,-74.16915311217323
2020,120,40.6601079242726,-74.17292911531885
2020,121,40.70505334482645,-74.1792135573711
2020,122,40.704701046769806,-74.20689890352617
2020,123,40.75084816131427,-74.19340309245875
2020,124,40.74482893190991,-74.18611803172304
2020,125,40.730492796976606,-74.20509779316968
2020,126,40.71777909462758,-74.20884228991028
2020,127,40.70527928985654,-74.19594103318879
2020,128,40.72172117482233,-74.17015972135898
2020,129,40.73092160276187,-74.16272559220955
2020,130,40.7308572222429,-74.21075990216602
2020,131,40.725051863935285,-74.13342283393757
2020,132,40.690655983739816,-74.14787274493307
2020,133,40.742858484263806,-74.22425163926604
2020,134,40.70665592914591,-74.14337649831083
2020,135,40.64937122330358,-74.16996377490553
2020,136,40.704710435473245,-74.17533690086472
2020,137,40.73930689395871,-74.16457874406349
2020,138,40.70529933654738,-74.13788432857473
2020,139,40.73165960285187,-74.16413331235323
2020,140,40.74487165096173,-74.22865616853487
2020,141,40.77631377141174,-74.18091144214918
2020,142,40.70635900926665,-74.15081454563547
2020,143,40.69757491039395,-74.131357710135
2020,144,40.714457135866176,-74.12121354049363
2020,145,40.77549636418354,-74.16237232924404
2020,146,40.71325233458898,-74.21113338432357
2020,147,40.7425215950497,-74.16973531520044
2020,148,40.73549368076788,-74.18505613565158
2020,149,40.66018888154243,-74.17911138125596
2020,150,40.727620895395674,-74.15337366540753
2020,151,40.70011791022759,-74.11724132592315
2020,152,40.671023543184674,-74.16378446345718
2020,153,40.723597858009676,-74.19507084952717
2020,154,40.71427710530912,-74.20911969256504
2020,155,40.67836069006,-74.17486836261169
2020,156,40.71068040312766,-74.17722140636869
2020,157,40.74733732448445,-74.20974671108789
2020,158,40.666658206752864,-74.1550113400365
2020,159,40.70641494543917,-74.12116105313574
2020,160,40.72208020569988,-74.15723116116882
2020,161,40.712376770360336,-74.17128669460692
2020,162,40.721234307686906,-74.13211899684538
2020,163,40.64734393267909,-74.16959427518385
2020,164,40.70426049211884,-74.15478392503105
2020,165,40.67195297873853,-74.1657281683313
2020,166,40.72726919852057,-74.16531280310723
2020,167,40.69603852733294,-74.15608279822533
2020,168,40.672039173374166,-74.16364937893519
2020,169,40.75316864315337,-74.18512485570537
2020,170,40.69730964053802,-74.13873282284942
2020,171,40.70930772621849,-74.15772353137503
2020,172,40.750116170877575,-74.18952214583251
